feature,value_auc,category_rate_auc,missingness_auc,value_auc_sep,category_rate_auc_sep,missingness_auc_sep,flagged
F996,0.6699581607205425,0.6699581607205425,0.4991112098655705,0.6699581607205425,0.6699581607205425,0.5008887901344294,False
F52,0.669915461468595,,0.4809129575451836,0.669915461468595,,0.5190870424548164,False
F1639,0.33022905712417655,,0.499277858015776,0.6697709428758234,,0.500722141984224,False
F3091,0.33028323449468744,,0.5720283480162013,0.6697167655053126,,0.5720283480162013,False
F3094,0.33028323449468744,,0.5720283480162013,0.6697167655053126,,0.5720283480162013,False
F224,0.6693389335281227,,0.4624554747689214,0.6693389335281227,,0.5375445252310787,False
F230,0.6693389335281227,,0.4624554747689214,0.6693389335281227,,0.5375445252310787,False
F2326,0.33130904183535764,,0.485606537545211,0.6686909581646423,,0.514393462454789,False
F354,0.6681338643191505,,0.4809129575451836,0.6681338643191505,,0.5190870424548164,False
F2990,0.33218079418264773,,0.47969087111034303,0.6678192058173522,,0.520309128889657,False
F2987,0.33218079418264773,,0.47969087111034303,0.6678192058173522,,0.520309128889657,False
F2352,0.3329131377109837,,0.4555186597922591,0.6670868622890163,,0.5444813402077409,False
F2346,0.3329131377109837,,0.4555186597922591,0.6670868622890163,,0.5444813402077409,False
F3096,0.33299293008641007,,0.5688064837788943,0.6670070699135899,,0.5688064837788943,False
F3093,0.33299293008641007,,0.5688064837788943,0.6670070699135899,,0.5688064837788943,False
F2447,0.33301877465915325,,0.4578380179980002,0.6669812253408467,,0.5421619820019998,False
F2453,0.33301877465915325,,0.4578380179980002,0.6669812253408467,,0.5421619820019998,False
F2344,0.33306761980680055,,0.4800577713587379,0.6669323801931994,,0.519942228641262,False
F3913,0.33382230506624094,0.6661776949337591,,0.666177694933759,0.6661776949337591,,False
F1104,0.6661661661661662,0.6661661661661662,0.49944450616598157,0.6661661661661662,0.6661661661661662,0.5005554938340184,False
F2621,0.6661418503523766,,0.485606537545211,0.6661418503523766,,0.514393462454789,False
F2034,0.6643420716691786,,0.4996111543161871,0.6643420716691786,,0.5003888456838129,False
F2040,0.6643420716691786,,0.4996111543161871,0.6643420716691786,,0.5003888456838129,False
F228,0.6643407761828815,,0.4643928452394178,0.6643407761828815,,0.5356071547605822,False
F234,0.6643407761828815,,0.4643928452394178,0.6643407761828815,,0.5356071547605822,False
F3002,0.3360159940066804,,0.32958820762027813,0.6639840059933195,,0.6704117923797219,False
F2999,0.3360159940066804,,0.32958820762027813,0.6639840059933195,,0.6704117923797219,False
F259,0.663964953797611,,0.5718088936620211,0.663964953797611,,0.5718088936620211,False
F2444,0.33615013136569394,,0.4578380179980002,0.6638498686343061,,0.5421619820019998,False
F2450,0.33615013136569394,,0.4578380179980002,0.6638498686343061,,0.5421619820019998,False
F2140,0.6633877959319773,,0.49977780246639264,0.6633877959319773,,0.5002221975336074,False
F2146,0.6633877959319773,,0.49977780246639264,0.6633877959319773,,0.5002221975336074,False
F1212,0.6633405083418048,0.6633405083418048,0.4998889012331963,0.6633405083418048,0.6633405083418048,0.5001110987668037,False
